,Runid,Time,Method,Num_vars
0,0,0.001764535903930664,Ours,500
1,1,0.0015115737915039062,Ours,500
2,2,0.0010666847229003906,Ours,500
3,3,0.0010616779327392578,Ours,500
4,4,0.0011861324310302734,Ours,500
5,5,0.0010499954223632812,Ours,500
6,6,0.0015909671783447266,Ours,500
7,7,0.0010862350463867188,Ours,500
8,8,0.0010879039764404297,Ours,500
9,9,0.0010447502136230469,Ours,500
0,0,0.0014934539794921875,DDS-Softsort,500
1,1,0.0009751319885253906,DDS-Softsort,500
2,2,0.0009310245513916016,DDS-Softsort,500
3,3,0.0013282299041748047,DDS-Softsort,500
4,4,0.0009288787841796875,DDS-Softsort,500
5,5,0.0009419918060302734,DDS-Softsort,500
6,6,0.0009279251098632812,DDS-Softsort,500
7,7,0.0009264945983886719,DDS-Softsort,500
8,8,0.0009272098541259766,DDS-Softsort,500
9,9,0.0009379386901855469,DDS-Softsort,500
0,0,0.016091585159301758,DDS-Sinkhorn,500
1,1,0.012531042098999023,DDS-Sinkhorn,500
2,2,0.012779474258422852,DDS-Sinkhorn,500
3,3,0.013735055923461914,DDS-Sinkhorn,500
4,4,0.013558626174926758,DDS-Sinkhorn,500
5,5,0.012085914611816406,DDS-Sinkhorn,500
6,6,0.013702630996704102,DDS-Sinkhorn,500
7,7,0.013911724090576172,DDS-Sinkhorn,500
8,8,0.012986421585083008,DDS-Sinkhorn,500
9,9,0.01241302490234375,DDS-Sinkhorn,500
0,0,0.003635883331298828,Ours,1000
1,1,0.002549409866333008,Ours,1000
2,2,0.003258228302001953,Ours,1000
3,3,0.0032796859741210938,Ours,1000
4,4,0.0019176006317138672,Ours,1000
5,5,0.003204345703125,Ours,1000
6,6,0.004430055618286133,Ours,1000
7,7,0.001912832260131836,Ours,1000
8,8,0.003281831741333008,Ours,1000
9,9,0.0032465457916259766,Ours,1000
0,0,0.0037386417388916016,DDS-Softsort,1000
1,1,0.0037207603454589844,DDS-Softsort,1000
2,2,0.002399444580078125,DDS-Softsort,1000
